id,op,ARM_PMU_CPU_CYCLES,ARM_PMU_INST_RETIRED,ARM_PMU_STALL_FRONTEND,ARM_PMU_STALL_BACKEND,ARM_PMU_MEM_ACCESS,ARM_PMU_L1D_CACHE_REFILL,ARM_PMU_BUS_ACCESS,ARM_PMU_BUS_CYCLES,cycles,overflow,macs,ops,cycles_per_mac
0,CONV_2D,337939.0,270137.0,2125.0,40656.333333333336,207075.0,0.6666666666666666,5.333333333333333,337879.6666666667,337939.0,False,0,8000,
1,DEPTHWISE_CONV_2D,206049.33333333334,152970.0,4012.3333333333335,41926.0,116287.0,0.0,4.0,206024.33333333334,206049.33333333334,False,0,8000,
2,CONV_2D,207552.66666666666,162568.0,41.0,24712.0,220169.0,0.0,0.0,207542.0,207552.66666666666,False,0,8000,
3,DEPTHWISE_CONV_2D,206022.66666666666,152970.0,3973.6666666666665,41936.666666666664,116287.0,0.0,2.6666666666666665,206011.0,206022.66666666666,False,0,8000,
4,CONV_2D,207543.0,162568.0,41.0,24702.0,220169.0,0.0,0.0,207543.0,207543.0,False,0,8000,
5,DEPTHWISE_CONV_2D,206012.0,152970.0,3973.3333333333335,41926.0,116287.0,0.0,2.6666666666666665,206012.0,206012.0,False,0,8000,
6,CONV_2D,207574.33333333334,162568.0,41.0,24734.333333333332,220169.33333333334,0.3333333333333333,1.3333333333333333,207556.0,207574.33333333334,False,0,8000,
7,DEPTHWISE_CONV_2D,206023.66666666666,152970.0,3973.3333333333335,41937.666666666664,116287.0,0.0,2.6666666666666665,206011.0,206023.66666666666,False,0,8000,
8,CONV_2D,207601.33333333334,162568.0,41.0,24760.333333333332,220169.33333333334,0.3333333333333333,1.3333333333333333,207557.33333333334,207601.33333333334,False,0,8000,
9,AVERAGE_POOL_2D,18299.0,11121.0,112.0,6714.0,12558.0,0.0,4.0,18299.0,18299.0,False,0,64,
10,RESHAPE,317.0,211.0,16.0,16.0,138.0,0.0,0.0,317.0,317.0,False,0,64,
11,FULLY_CONNECTED,1145.3333333333333,764.0,172.66666666666666,87.33333333333333,787.0,0.0,0.0,987.0,1145.3333333333333,False,0,12,
12,SOFTMAX,2762.3333333333335,1735.0,170.0,495.6666666666667,1581.0,0.0,1.3333333333333333,2615.0,2762.3333333333335,False,0,12,
